[電影心得]魍美 （有雷劇透）,0,11,16,6,0
[影評][韓國]★解冰/解凍屍篇해빙(2017)★漢江大橋下另一種令人戰慄的容貌,1,6,9,1,0
《夏日樂悠悠》：到熱帶島嶼戀愛度假吧！,5,13,10,2,0
新海誠《你的名字》影評&時間軸整理,0,0,0,0,0
心靈鑰匙‧not stop looking.,1,15,8,2,0
【影評】《七月與安生》青春的斷垣殘壁,10,10,11,4,0
[影評]逃出絕命鎮/Get Out(含暗黑結局) - 為什麼要逼我殺人? ,3,21,16,1,0
2018 電影排行榜清單,0,0,0,0,0
免費電影線上看---超人特攻隊2 The Incredibles 2,0,0,0,0,0
安潔莉娜裘莉 特務間諜 Angelina Jolie (Salt)觀後感,1,5,10,3,0
女人與鯊-絕鯊島〈The Shallows〉,1,17,5,5,1
孩子，這就是西部片→The Lone Ranger：獨行俠,7,23,22,3,0
{Drama)  漢娜的遺言 13 Reasons Why 第二季 (無雷&有雷) 影集心得+ 原聲帶推薦,6,19,24,0,0
【電影心得】鬼病院-靈異病院,4,13,17,2,2
《逃出絕命鎮》分析討論：請多準備幾副茶具,10,11,9,2,0
《犀利人妻最終回：幸福男．不難》：放手去愛，為愛冒險,0,8,14,0,0
真的回不去了  「犀利人妻最終回  幸福男。不難」,1,8,9,3,0
厲陰宅二的真實歷史與電影改編分析,0,0,0,0,0
中華英雄 風雲再起,0,7,13,1,0
